name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710058474,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710058147,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710057880,3.292,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710057479,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710057220,3.269,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710056930,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710056543,3.25,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710056341,3.316,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710055917,3.316,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710055558,3.292,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710055464,3.269,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710054996,3.316,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710054734,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710054505,3.292,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710054188,3.292,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710053983,3.335,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710053677,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710053303,3.292,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710053120,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710052801,3.269,3.319,0
